"","(Intercept)","Mn3","M3P","K3","Al3","l.dbh","l.light"
"acacme",0.303989600957081,-0.101006472441276,0.0472274138355199,-0.0198341428023633,-0.0827972629385549,0.289687307266057,0.524547920361109
"acaldi",0.124267080059957,-0.112698361498246,0.0510497145493528,-0.0198341428023633,-0.0827972629385549,0.192067176322999,0.425187522421797
"acalma",-0.0231852362301724,-0.0898366528194227,0.0404287158164872,-0.0198341428023633,-0.0827972629385549,0.195281645976398,0.505152816698136
"ade1tr",-0.899417942375168,-0.0407793371548228,0.0205909157582207,-0.0198341428023633,-0.0827972629385549,-0.121288701834322,0.413618419571675
"aegipa",-1.24956883762859,-0.0365808363095537,0.0281107808382848,-0.0198341428023633,-0.0827972629385549,-0.0700551107388819,0.267690737839023
"alchco",-0.288160804298239,-0.0634651026840208,0.027235165637277,-0.0198341428023633,-0.0827972629385549,-0.167474639920798,0.6260824520756
"alibed",-1.07067752348019,-0.0894275970615335,0.0567876884176889,-0.0198341428023633,-0.0827972629385549,0.15832275980713,0.133437708157167
"allops",-0.601792668031245,-0.0596375955704333,0.0505514387327485,-0.0198341428023633,-0.0827972629385549,0.138745200971511,0.405498701714354
"alsebl",-0.878067829581568,-0.0567053318261138,0.00864882483488147,-0.0198341428023633,-0.0827972629385549,0.205617840644451,0.2379194609366
"anacex",-0.362538835779772,-0.0728200839623526,0.0364648384854039,-0.0198341428023633,-0.0827972629385549,0.163150494115596,0.417589832874628
"anaxpa",-1.17215919773786,-0.0604103538651399,0.0453457020010442,-0.0198341428023633,-0.0827972629385549,-0.206356987146326,-0.0723659372030989
"andiin",-1.14690626809771,-0.048834724316108,0.020429865549955,-0.0198341428023633,-0.0827972629385549,-0.22085216005942,0.241128777651334
"annoac",-1.39135513995818,-0.0776553473814329,0.0450849729577892,-0.0198341428023633,-0.0827972629385549,0.0495946289097724,0.167891764078793
"annosp",-0.359213714296715,-0.0593658994800822,0.0313978894043474,-0.0198341428023633,-0.0827972629385549,-0.00662324622348391,0.5892363872247
"apeime",-0.0802502931745698,-0.0805963080437063,0.0230590386186861,-0.0198341428023633,-0.0827972629385549,-0.27216124861359,0.648821466469437
"apeiti",-0.208085044153032,-0.0921579177740979,0.0371494646835431,-0.0198341428023633,-0.0827972629385549,-0.056102723856959,0.500567827190318
"ardife",-1.1669946255323,-0.0330694819247896,0.0473947466908571,-0.0198341428023633,-0.0827972629385549,-0.0638102714849294,0.0211141368524769
"ardigu",-1.30657796934475,-0.0396731496544147,0.0335723186334375,-0.0198341428023633,-0.0827972629385549,0.0122080722578149,0.0993500207047678
"aspicr",-0.737743390473389,-0.110621120937592,0.0403738216063693,-0.0198341428023633,-0.0827972629385549,0.474205067266069,0.152414218611319
"ast2gr",-0.566423378224575,-0.0704233478675638,0.0296654461687604,-0.0198341428023633,-0.0827972629385549,0.275304779419427,0.253293998085846
"beilpe",-0.781001492286868,-0.0659550476840385,0.0645600089431754,-0.0198341428023633,-0.0827972629385549,0.31510067415235,0.164009024976926
"brosal",-1.03769706371844,-0.0462170152321687,0.0118485610200146,-0.0198341428023633,-0.0827972629385549,0.104223734687956,0.15387514782255
"calolo",-0.24360051586673,-0.0936715402879143,0.0719803079795005,-0.0198341428023633,-0.0827972629385549,0.370549518877246,0.156687450770478
"cappfr",-1.69754972764721,-0.0157265848328111,0.0351625796894801,-0.0198341428023633,-0.0827972629385549,-0.0547667976094834,0.0796273345080314
"caseac",-1.13416181781647,-0.0704853295929184,0.0322125713452247,-0.0198341428023633,-0.0827972629385549,-0.0365891362836518,0.142650659218418
"casear",-0.366301170972802,-0.0641492969502802,0.0264294634438223,-0.0198341428023633,-0.0827972629385549,-0.0852614493790831,0.602113108276085
"caseco",-0.939863637475845,-0.0602168636667291,0.0351053992466194,-0.0198341428023633,-0.0827972629385549,0.00754994613428667,0.287166988467503
"casesy",-0.479216382357821,-0.0616796489781443,0.0169330789929016,-0.0198341428023633,-0.0827972629385549,0.0260148393379093,0.490038521920343
"cassel",-0.659347724548872,-0.11021565766684,0.0720088364713833,-0.0198341428023633,-0.0827972629385549,0.550424195945914,0.155063051187442
"cavapl",-0.415528481238183,-0.0756533704060399,0.0493671089790791,-0.0198341428023633,-0.0827972629385549,0.328344964177937,0.302995114062727
"cecrin",0.521352487993593,-0.104777213261387,0.022286157660862,-0.0198341428023633,-0.0827972629385549,-0.225575195570252,0.814677575414477
"cecrob",0.253410835068213,-0.101283334623704,0.0422557372393738,-0.0198341428023633,-0.0827972629385549,0.283343429456613,0.522565408856916
"ceibpe",-0.460618043420687,-0.0742189742317077,0.0446848958152983,-0.0198341428023633,-0.0827972629385549,0.262855887384289,0.29068710437433
"celtsc",-0.0738402324678539,-0.078620093070036,0.044794278219531,-0.0198341428023633,-0.0827972629385549,0.187448492830965,0.38832057714539
"cestme",-0.239494568736864,-0.0832377965832688,0.0460698262672712,-0.0198341428023633,-0.0827972629385549,0.136438294322694,0.400010408810607
"cha2sc",-0.583630692043374,-0.0999324374418437,0.0779583101155646,-0.0198341428023633,-0.0827972629385549,0.459788990122508,-0.102063051078962
"chr1ec",-1.20854902508159,-0.0406815270663667,0.0453290272310868,-0.0198341428023633,-0.0827972629385549,-0.112865614875354,0.228865234454064
"chr2ar",-0.94121971384577,-0.0549436252846507,-0.0110021873840658,-0.0198341428023633,-0.0827972629385549,-0.00919746310931072,0.435444556734612
"chr2ca",-1.00360880184589,-0.0476354602584884,-0.0003071855658777,-0.0198341428023633,-0.0827972629385549,0.195981034905331,0.340588167403854
"coccco",-1.22963157480696,-0.0430461961228055,0.0601009725415969,-0.0198341428023633,-0.0827972629385549,-0.0606417387727431,0.142274868088486
"coccma",-1.43239693584748,-0.0461581983330831,0.0206982686539645,-0.0198341428023633,-0.0827972629385549,-0.331035830993427,0.355533312929921
"conoci",-0.282756423130299,-0.069630135503095,0.0426837255744682,-0.0198341428023633,-0.0827972629385549,0.188244940862602,0.35816405749825
"cordal",0.194123549025133,-0.111158453429364,0.0355259777626568,-0.0198341428023633,-0.0827972629385549,-0.00885023736396377,0.639176651313669
"cordbi",-0.565498016772864,-0.0128379707519,-0.00722860050155771,-0.0198341428023633,-0.0827972629385549,-0.231879544371184,0.919217111817515
"cordla",-0.564446525140894,-0.140970020480515,0.0138961419781357,-0.0198341428023633,-0.0827972629385549,-0.432156173367652,0.497414927847768
"cou2cu",-0.853441730097126,-0.0209228862022866,0.0312463315227329,-0.0198341428023633,-0.0827972629385549,0.12468485381869,0.160682984415571
"crotbi",0.357259266318195,-0.111404389332226,0.0432420332593064,-0.0198341428023633,-0.0827972629385549,0.240022856624277,0.52021287259713
"cupala",-0.483808778179328,-0.0838301878277438,0.0422307597000194,-0.0198341428023633,-0.0827972629385549,0.229214812581054,0.25576685481177
"cuparu",-0.487108413138689,-0.0952047916443078,0.04285960124085,-0.0198341428023633,-0.0827972629385549,0.221574013363947,0.370925601144984
"cupasy",-0.822508984327734,-0.0489262744769034,0.0235569013035832,-0.0198341428023633,-0.0827972629385549,0.169749085593343,0.358282553345398
"dendar",-0.561123319000584,-0.0609597773201227,0.0389045978011737,-0.0198341428023633,-0.0827972629385549,0.113330505567184,0.312286271933359
"des2pa",-1.03718084471096,-0.0616396690596593,0.0447240949876304,-0.0198341428023633,-0.0827972629385549,0.0157375941278379,0.090560725305967
"dio2ar",-0.496505629067898,-0.0855978852641923,0.0527907900204991,-0.0198341428023633,-0.0827972629385549,0.0705965418942418,0.249879839050354
"diptpa",-0.85286605651978,-0.0630102414968177,0.0466351128538569,-0.0198341428023633,-0.0827972629385549,0.423226285166786,0.0684827899906283
