"sp","(Intercept)","Mn3","M3P","K3","Al3","l.dbh","l.light"
"acacme",0.304144847952479,-0.10110668287291,0.0472419608905245,-0.019833641839986,-0.0827950526329399,0.289431746240366,0.524704676533843
"acaldi",0.124229390854173,-0.112643853544286,0.0510555132209748,-0.019833641839986,-0.0827950526329399,0.191781717081469,0.425474321360934
"acalma",-0.0230808606439162,-0.0900003751110794,0.0404477197892554,-0.019833641839986,-0.0827950526329399,0.195164027323051,0.505178164296703
"ade1tr",-0.899096245044751,-0.0410689243539154,0.0205427965671095,-0.019833641839986,-0.0827950526329399,-0.12085021291867,0.413013365596273
"aegipa",-1.24951310572795,-0.0367549512728004,0.0280976553193913,-0.019833641839986,-0.0827950526329399,-0.0695876805150019,0.26710879098539
"alchco",-0.287801002627075,-0.0639249660382898,0.0272002632819445,-0.019833641839986,-0.0827950526329399,-0.166992234350332,0.625402706304749
"alibed",-1.07067298199247,-0.0893224082832593,0.0568930205571732,-0.019833641839986,-0.0827950526329399,0.158045002519849,0.133822038647808
"allops",-0.601791576158052,-0.0598982081549664,0.0506085572017213,-0.019833641839986,-0.0827950526329399,0.139027873136649,0.405142949786565
"alsebl",-0.878068096326719,-0.0566903443180262,0.00864263420599785,-0.019833641839986,-0.0827950526329399,0.205615581274932,0.237920499226097
"anacex",-0.362473408774154,-0.0729536545170082,0.0364756529205938,-0.019833641839986,-0.0827950526329399,0.163254844026663,0.417355173777275
"anaxpa",-1.17191524128587,-0.0598677203652641,0.045166558626682,-0.019833641839986,-0.0827950526329399,-0.206501674350039,-0.072214040327195
"andiin",-1.14688671780881,-0.0488206001070216,0.0203335643957783,-0.019833641839986,-0.0827950526329399,-0.220799194270543,0.24103801043901
"annoac",-1.39141257603899,-0.0776195129176136,0.0451739553109373,-0.019833641839986,-0.0827950526329399,0.0494653464788987,0.168092546842333
"annosp",-0.358781416364414,-0.0598467633708692,0.031422254448781,-0.019833641839986,-0.0827950526329399,-0.00599948767812898,0.588480899360957
"apeime",-0.080041639547681,-0.0809261095208911,0.022965795208665,-0.019833641839986,-0.0827950526329399,-0.271989548452866,0.648465058355122
"apeiti",-0.20795804261605,-0.0923131666651135,0.0371136367506584,-0.019833641839986,-0.0827950526329399,-0.0563972622822291,0.500806079463804
"ardife",-1.16711485566758,-0.0328176308090471,0.0472584620531217,-0.019833641839986,-0.0827950526329399,-0.0635595529912783,0.0208337375670388
"ardigu",-1.3064302344357,-0.0395591090988323,0.0335238004715104,-0.019833641839986,-0.0827950526329399,0.0124034850798741,0.0991277180573565
"aspicr",-0.737690554560309,-0.110400602731447,0.0405004255790753,-0.019833641839986,-0.0827950526329399,0.473784457141043,0.152912220188621
"ast2gr",-0.566422380734483,-0.0702882862514073,0.0296518947599718,-0.019833641839986,-0.0827950526329399,0.275268726339449,0.253303383155975
"beilpe",-0.780993658853907,-0.0659195528568162,0.0646093605122597,-0.019833641839986,-0.0827950526329399,0.315093096378727,0.164023419853337
"brosal",-1.03750635823657,-0.0461114116684024,0.0117990249195129,-0.019833641839986,-0.0827950526329399,0.104271271787289,0.153730821659039
"calolo",-0.243615930873438,-0.0934798354597582,0.072044433801086,-0.019833641839986,-0.0827950526329399,0.370475279139035,0.156798439098156
