"Latin","occur","Inter","Moist","Al","Ca","Fe","K","P","Zn","N"
"Acacia melanoceras (Fabaceae-mimosoideae)",10,-1.49181670408117,-0.151300960394389,0.0948766053465995,0.616403516065106,-0.412779804625315,-0.0815351997101781,-0.355895550844483,0.18355277950702,0.0473000532256005
"Acalypha diversifolia (Euphorbiaceae)",23,-0.00735767150863782,0.733104858901296,0.154889241941872,-0.00826401390052598,-0.20978360686315,0.459760421455191,0.722517596375566,0.174008119375215,0.0543772032133432
"Acalypha macrostachya (Euphorbiaceae)",5,-2.12903135000585,-0.673937864411792,0.271794489737264,-0.130857070767045,-0.137312682069238,0.40017416467118,0.00361108531694653,0.157329171724647,0.0845529323224263
"Adelia triloba (Euphorbiaceae)",14,-1.87804132553223,0.437380759718826,-0.111129166962944,0.251483564753119,-0.342138049630647,0.150503997672109,1.36767642195342,0.206724623139879,0.0849137559736785
"Aegiphila panamensis (Lamiaceae)",12,-1.02002633323642,-1.16943713823702,0.161064138133838,0.0430111882764987,0.0717788595167243,0.142850537290941,0.203520314583402,0.212627223807485,0.0277606158565773
"Albizia adinocephala (Fabaceae-mimosoideae)",7,-2.36839772723049,-1.94370462840994,-0.0265520893049246,-0.483677732957409,0.0984996261299904,0.139491867244679,0.106588604317383,0.142028468707715,0.0358304774919114
"Alchornea costaricensis (Euphorbiaceae)",19,-0.514409376648404,0.0729696152722255,-0.0475510811989279,0.258587522323428,0.0182602149203008,0.27203417231625,0.855076601440505,0.121982430291984,0.066364734518929
"Alchornea latifolia (Euphorbiaceae)",24,-0.291775372410048,0.496010372494333,-0.0572261646557625,-0.843992667394665,-0.269938503618198,0.135002855222711,-0.823637646630197,0.0837663880716135,0.0763375193949398
"Alibertia edulis (Rubiaceae)",34,0.131603562444171,-0.807768321727446,0.67070341189171,0.0836131050156633,0.0175634880861162,0.357064014158731,0.776826223647684,0.134186189135542,0.0489533743237314
"Allophylus racemosus (Sapindaceae)",9,-2.40629692826329,-1.99393098200659,0.205309253963435,0.159861001814255,0.0816961825982077,0.184503324873585,0.0958782985418859,0.169341857840963,0.0157080465171661
"Allophylus psilospermus (Sapindaceae)",9,-1.88279126672936,1.79733121350547,0.131006391615454,0.0992906902595332,-0.378643182283663,0.286764010532815,0.832868763059341,0.145128391960248,0.0777529519741122
"Alseis blackiana (Rubiaceae)",40,1.17415318538138,-0.959261438355212,-0.440833721565714,-0.0809482406399379,-0.282234685903642,0.508088715540921,0.163015430671571,0.0673633961378549,0.0452790492620704
